Sample,Type,PD,SR,MPD,MNTD,VPD,VNTD
ICR_5_pp1,Pushpoint,134.332194920107,2582,0.361699417974606,0.0873478968292996,0.0102029620283575,0.00393156949661236
ICR_6_pp2,Pushpoint,136.508439395868,2529,0.366936791755247,0.100900916839625,0.00870080540041195,0.00469824483203599
ICR_7_pp1,Pushpoint,135.185035157972,2553,0.356127143519903,0.0912503418725416,0.0114341921591208,0.00486479122139988
ICR_7_pp2,Pushpoint,136.715896272611,2600,0.368844609662909,0.0921470258954505,0.00690080434470647,0.00370420383784767
ICR_7_pp3,Pushpoint,136.766397727989,2630,0.369103937380273,0.0925777094052283,0.00711918404348842,0.00383946256924246
ICR_8_pp1,Pushpoint,142.194835732363,2676,0.368815859026587,0.0980774000284244,0.0050490027696834,0.00372351748930853
ICR_8_pp2,Pushpoint,140.089996132314,2610,0.368299593724805,0.100689508225021,0.00558221044714455,0.00403172307921867
ICR_9_pp1,Pushpoint,143.567473216843,2661,0.368881349134491,0.0999760415910357,0.00567479237389152,0.00382069029016261
ICR_9_pp2,Pushpoint,137.255182358446,2461,0.370436359471526,0.0965969212321969,0.00633527804213456,0.00392981809858851
ICR_9_pp3,Pushpoint,140.825096711865,2527,0.367555593755438,0.0979888794813045,0.00507839022173914,0.0035974316239035
River_at_ICR2p1,River,142.728273150205,2685,0.366796661744971,0.0981182787086084,0.00516891147265128,0.0039078646098602
River_at_ICR2p2,River,133.789725832306,2454,0.368916967854871,0.090379135397822,0.00646950813178132,0.00377915503360785
River_at_ICR3,River,127.486751475544,2328,0.369247912766748,0.090736667723931,0.00669869601019654,0.00362497303323255
River_at_ICR6,River,142.671099268376,2643,0.368342425353696,0.0931859621944812,0.00542649317364758,0.00364572946981007
River_at_ICR7,River,137.979636457191,2529,0.368088363672828,0.0898265496167289,0.00720394216664997,0.00367451327711333
River_at_ICR8,River,141.393147551495,2547,0.366976043949613,0.0950149618336264,0.00748535375034203,0.00383828233170662
River_at_ICR9,River,140.471031792473,2577,0.365906665440415,0.0966484441654923,0.00789765116616909,0.00413721485869723
ICR_1_pp1,Pushpoint,129.169816610094,2526,0.367362739555392,0.0903286146705595,0.00655555003061792,0.00363711938709202
ICR_2_pp1,Pushpoint,107.086416903794,1838,0.367420275419348,0.0893275505126449,0.00811884878619209,0.00365743880769748
ICR_3_pp1,Pushpoint,111.836664968114,2102,0.36642205968061,0.0922659313469805,0.00631338431641875,0.00371947571295094
ICR_4_pp1,Pushpoint,141.6348826774,2638,0.367151523880788,0.0916234088555412,0.00621778622176962,0.00384065960496993
